PVH,"Apparel, Accessories & Luxury Goods"
PWR,Construction & Engineering
PX,Industrial Gases
PXD,Oil & Gas Exploration & Production
PYPL,Data Processing & Outsourced Services
QCOM,Semiconductors
QRVO,Semiconductors
RAI,Tobacco
RCL,"Hotels, Resorts & Cruise Lines"
RE,Reinsurance
REG,Retail REITs
REGN,Biotechnology
RF,Regional Banks
RHI,Human Resource & Employment Services
RHT,Systems Software
RIG,Oil & Gas Drilling
RJF,Investment Banking & Brokerage
RL,"Apparel, Accessories & Luxury Goods"
ROK,Electrical Components & Equipment
ROP,Industrial Conglomerates
ROST,Apparel Retail
RRC,Oil & Gas Exploration & Production
RSG,Environmental & Facilities Services
RTN,Aerospace & Defense
SBUX,Restaurants
SCG,Multi-Utilities
SCHW,Investment Banking & Brokerage
SEE,Paper Packaging
SHW,Specialty Chemicals
SIG,Specialty Stores
SJM,Packaged Foods & Meats
SLB,Oil & Gas Equipment & Services
SLG,Office REITs
SNA,Household Appliances
SNI,Cable & Satellite
SNPS,Application Software
SO,Electric Utilities
SPG,Retail REITs
SPGI,Financial Exchanges & Data
SPLS,Specialty Stores
SRCL,Environmental & Facilities Services
SRE,Multi-Utilities
STI,Regional Banks
STT,Asset Management & Custody Banks
STX,"Technology Hardware, Storage & Peripherals"
STZ,Distillers & Vintners
SWK,Household Appliances
SWKS,Semiconductors
SYF,Consumer Finance
SYK,Health Care Equipment
SYMC,Application Software
SYY,Food Distributors
T,Integrated Telecommunication Services
TAP,Brewers
TDG,Aerospace & Defense
TEL,Electronic Manufacturing Services
TGT,General Merchandise Stores
TIF,"Apparel, Accessories & Luxury Goods"
TJX,Apparel Retail
TMK,Life & Health Insurance
TMO,Health Care Equipment
TRIP,Internet & Direct Marketing Retail
TROW,Asset Management & Custody Banks
TRV,Property & Casualty Insurance
TSCO,Specialty Stores
TSN,Packaged Foods & Meats
TSO,Oil & Gas Refining & Marketing
TSS,Internet Software & Services
TWX,Cable & Satellite
TXN,Semiconductors
TXT,Aerospace & Defense
UA,"Apparel, Accessories & Luxury Goods"
UAA,"Apparel, Accessories & Luxury Goods"
UAL,Airlines
UDR,Residential REITs
UHS,Health Care Facilities
ULTA,Specialty Stores
UNH,Managed Health Care
UNM,Life & Health Insurance
UNP,Railroads
UPS,Air Freight & Logistics
URI,Trading Companies & Distributors
USB,Diversified Banks
UTX,Aerospace & Defense
V,Internet Software & Services
VAR,Health Care Equipment
VFC,"Apparel, Accessories & Luxury Goods"
VIAB,Cable & Satellite
VLO,Oil & Gas Refining & Marketing
VMC,Construction Materials
VNO,Office REITs
VRSK,Research & Consulting Services
VRSN,Internet Software & Services
VRTX,Biotechnology
VTR,Health Care REITs
VZ,Integrated Telecommunication Services
WAT,Health Care Distributors
WBA,Drug Retail
WDC,"Technology Hardware, Storage & Peripherals"
WEC,Electric Utilities
WFC,Diversified Banks
WFM,Food Retail
WHR,Household Appliances
WLTW,Insurance Brokers
WM,Environmental & Facilities Services
WMB,Oil & Gas Storage & Transportation
WMT,Hypermarkets & Super Centers
WRK,Paper Packaging
WU,Internet Software & Services
WY,Specialized REITs
WYN,"Hotels, Resorts & Cruise Lines"
WYNN,Casinos & Gaming
XEC,Oil & Gas Exploration & Production
XEL,Multi-Utilities
XL,Property & Casualty Insurance
XLNX,Semiconductors
XOM,Integrated Oil & Gas
XRAY,Health Care Supplies
XRX,"Technology Hardware, Storage & Peripherals"
XYL,Industrial Machinery
YUM,Restaurants
ZBH,Health Care Equipment
ZION,Regional Banks
ZTS,Pharmaceuticals
